Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick[m]	Inv.RMS[%]	Note
5224.461145N	00220.673280W	30.79	09:51:46.89	4.90	2.34	7.52	2.83	11.17	5.39	1.78	17.38	3.1	2.8
5224.461129N	00220.673282W	30.79	09:51:47.94	4.82	2.35	7.38	2.88	11.05	5.55	1.76	17.84	3.5	7.1
5224.461129N	00220.673288W	30.79	09:51:48.99	4.88	2.35	7.53	2.85	11.16	5.51	1.77	17.37	3.1	2.9
5224.461168N	00220.673242W	30.77	09:51:49.89	4.97	2.35	7.66	2.89	11.37	5.50	1.81	17.69	3.1	2.8
5224.461178N	00220.673241W	30.77	09:51:50.94	4.98	2.36	7.57	2.91	11.09	5.62	1.76	17.26	3.1	1.8
5224.461171N	00220.673274W	30.77	09:51:51.99	4.85	2.34	7.41	2.82	10.99	5.34	1.75	17.10	3.1	2.7
5224.461092N	00220.673383W	30.81	09:51:52.89	4.86	2.33	7.44	2.82	10.99	5.39	1.75	17.10	3.1	2.5
5224.461063N	00220.673365W	30.81	09:51:53.94	4.57	2.33	6.92	2.78	10.40	5.27	1.65	16.79	3.5	7.2
5224.461039N	00220.673424W	30.81	09:51:54.99	4.69	2.33	7.07	2.76	10.45	5.21	1.66	16.26	3.1	2.5
5224.461077N	00220.673423W	30.80	09:51:55.89	4.70	2.33	6.95	2.80	10.43	5.21	1.66	16.84	3.5	6.8
5224.461056N	00220.673411W	30.80	09:51:56.94	4.88	2.32	7.47	2.80	11.10	5.20	1.76	17.27	3.1	2.8
5224.461055N	00220.673412W	30.80	09:51:57.84	4.68	2.33	7.12	2.83	10.65	5.28	1.69	17.20	3.5	7.2
5224.461055N	00220.673429W	30.80	09:51:58.89	4.76	2.33	7.09	2.80	10.49	5.26	1.67	16.33	3.1	2.9
5224.461128N	00220.673384W	30.80	09:51:59.94	4.89	2.34	7.32	2.85	10.93	5.37	1.74	17.65	3.5	6.4
5224.461130N	00220.673398W	30.81	09:52:00.84	4.93	2.34	7.38	2.81	11.10	5.30	1.76	17.92	3.5	6.4
5224.461122N	00220.673430W	30.80	09:52:01.89	4.83	2.34	7.38	2.82	10.96	5.35	1.74	17.06	3.1	2.8
5224.461106N	00220.673433W	30.80	09:52:02.94	4.82	2.33	7.40	2.82	10.99	5.36	1.75	17.10	3.1	2.9
5224.461128N	00220.673423W	30.79	09:52:03.84	4.86	2.34	7.26	2.82	10.83	5.32	1.72	16.85	3.1	2.6
5224.461143N	00220.673536W	30.78	09:52:04.89	4.69	2.33	7.15	2.83	10.45	5.37	1.66	16.26	3.1	2.1
5224.461142N	00220.673546W	30.79	09:52:05.94	4.75	2.33	7.11	2.82	10.54	5.35	1.68	16.40	3.1	2.7
5224.461133N	00220.673576W	30.79	09:52:06.84	4.81	2.33	7.34	2.79	10.74	5.18	1.71	16.71	3.1	1.9
5224.461092N	00220.673480W	30.78	09:52:07.89	4.71	2.33	7.42	2.81	11.04	5.27	1.76	17.18	3.1	3.9
5224.461251N	00220.673831W	30.79	09:52:08.94	4.61	2.34	7.02	2.85	10.56	5.45	1.68	17.05	3.5	7.3
5224.461304N	00220.673954W	30.79	09:52:09.84	4.47	2.33	6.88	2.77	10.43	5.28	1.66	16.84	3.5	7.7
5224.461458N	00220.674163W	30.84	09:52:10.89	4.59	2.33	7.03	2.82	10.47	5.29	1.66	16.29	3.1	3.4
5224.461623N	00220.674633W	30.86	09:52:11.94	4.71	2.33	7.07	2.79	10.41	5.26	1.65	16.20	3.1	2.7
5224.461663N	00220.674823W	30.85	09:52:12.84	4.72	2.34	7.23	2.86	10.90	5.50	1.73	17.60	3.5	7.3
5224.461806N	00220.675062W	30.86	09:52:13.89	4.74	2.33	7.01	2.84	10.59	5.33	1.68	17.10	3.5	6.3
5224.461769N	00220.675046W	30.86	09:52:14.94	4.63	2.33	6.99	2.80	10.37	5.30	1.65	16.14	3.1	2.7
5224.461761N	00220.675049W	30.86	09:52:15.84	4.47	2.33	6.81	2.78	10.11	5.18	1.67	15.04	3.1	3.1
5224.461705N	00220.675026W	30.87	09:52:16.89	4.33	2.33	6.67	2.77	10.09	5.19	2.14	66.96	9.7	5.8
5224.461620N	00220.674915W	30.86	09:52:17.94	4.60	2.33	7.08	2.79	10.41	5.23	1.65	16.20	3.1	2.7
5224.461526N	00220.674681W	30.85	09:52:18.84	4.31	2.32	6.46	2.76	9.75	5.12	2.07	64.71	9.7	4.2
5224.461511N	00220.674679W	30.87	09:52:19.89	4.55	2.33	6.86	2.80	10.27	5.31	1.63	16.58	3.5	7.1
5224.461541N	00220.674663W	30.87	09:52:20.94	4.51	2.33	6.76	2.84	10.18	5.38	2.16	67.56	9.7	5.0
5224.461533N	00220.674652W	30.86	09:52:21.84	4.51	2.33	6.66	2.80	10.13	5.35	2.15	67.23	9.7	4.5
5224.461533N	00220.674610W	30.86	09:52:22.89	4.44	2.33	6.78	2.78	10.31	5.27	1.64	16.65	3.5	7.6
5224.461509N	00220.674597W	30.86	09:52:23.94	4.34	2.33	6.44	2.75	9.88	5.15	2.10	65.57	9.7	3.9
5224.461500N	00220.674672W	30.84	09:52:24.84	4.34	2.33	6.75	2.77	10.06	5.06	1.66	14.97	3.1	4.0
5224.461502N	00220.674647W	30.85	09:52:25.89	4.60	2.33	7.07	2.76	10.82	5.19	1.72	17.47	3.5	7.5
5224.461508N	00220.674656W	30.85	09:52:26.94	4.40	2.33	6.87	2.77	10.35	5.27	1.65	16.71	3.5	8.3
5224.461505N	00220.674647W	30.85	09:52:27.84	4.53	2.33	6.71	2.78	10.01	5.24	1.65	14.89	3.1	3.2
5224.461466N	00220.674664W	30.84	09:52:28.89	4.36	2.33	6.55	2.77	9.93	5.27	2.11	65.90	9.7	4.3
5224.461464N	00220.674689W	30.83	09:52:29.94	4.43	2.32	6.68	2.72	9.96	4.97	1.65	14.82	3.1	2.4
5224.461467N	00220.674702W	30.83	09:52:30.84	4.29	2.32	6.47	2.76	9.88	5.05	2.10	65.57	9.7	4.5
5224.461464N	00220.674642W	30.83	09:52:31.89	4.33	2.32	6.54	2.79	9.91	5.12	2.11	65.77	9.7	4.5
5224.461492N	00220.674670W	30.83	09:52:32.94	4.31	2.33	6.56	2.85	9.77	5.22	1.62	14.54	3.1	2.6
5224.461487N	00220.674666W	30.83	09:52:33.84	4.25	2.32	6.49	2.78	9.60	5.01	1.59	14.28	3.1	2.2
5224.461466N	00220.674687W	30.83	09:52:34.89	4.40	2.32	6.78	2.81	10.06	5.10	1.66	14.97	3.1	3.4
5224.461462N	00220.674689W	30.81	09:52:35.94	4.26	2.32	6.55	2.84	9.76	5.20	1.61	14.52	3.1	2.9
5224.461468N	00220.674688W	30.82	09:52:36.84	4.30	2.32	6.63	2.78	10.03	5.04	2.13	66.57	9.7	5.9
5224.461472N	00220.674668W	30.82	09:52:37.89	4.35	2.33	6.71	2.86	10.21	5.42	1.62	16.49	3.5	8.0
5224.461456N	00220.674579W	30.83	09:52:38.94	4.29	2.33	6.63	2.80	9.92	5.12	2.11	65.84	9.7	5.3
5224.461490N	00220.674564W	30.83	09:52:39.83	4.56	2.32	6.71	2.82	10.09	5.23	2.14	66.96	9.7	4.9
5224.461589N	00220.674552W	30.82	09:52:40.89	4.61	2.32	6.82	2.81	10.09	5.18	1.67	15.01	3.1	3.2
5224.461442N	00220.674091W	30.82	09:52:41.94	4.78	2.33	7.19	2.82	10.57	5.31	1.68	16.45	3.1	2.5
5224.461469N	00220.673837W	30.80	09:52:42.84	4.75	2.33	7.20	2.82	10.47	5.26	1.66	16.29	3.1	2.3
5224.461365N	00220.673671W	30.80	09:52:43.89	4.69	2.32	6.90	2.78	10.35	5.19	1.65	16.71	3.5	7.1
5224.461350N	00220.673573W	30.80	09:52:44.94	4.59	2.33	6.82	2.79	10.18	5.20	2.16	67.56	9.7	5.1
5224.461456N	00220.673487W	30.83	09:52:45.84	4.76	2.32	7.24	2.79	10.53	5.25	1.67	16.39	3.1	2.1
5224.461419N	00220.673421W	30.84	09:52:46.89	4.73	2.32	7.18	2.78	10.69	5.29	1.70	16.64	3.1	2.9
5224.461438N	00220.673447W	30.84	09:52:47.94	4.62	2.32	6.90	2.78	10.18	5.21	1.68	15.15	3.1	3.0
5224.461442N	00220.673449W	30.85	09:52:48.84	4.63	2.33	7.13	2.78	10.52	5.15	1.67	16.37	3.1	2.9
5224.461464N	00220.673464W	30.84	09:52:49.89	4.63	2.32	7.04	2.76	10.49	5.22	1.67	16.33	3.1	3.1
5224.461456N	00220.673476W	30.84	09:52:50.94	4.69	2.33	7.04	2.76	10.28	5.15	1.63	16.00	3.1	2.7
5224.461469N	00220.673516W	30.82	09:52:51.84	4.59	2.32	6.81	2.75	10.07	5.09	1.66	14.98	3.1	3.1
5224.461444N	00220.673560W	30.82	09:52:52.89	4.58	2.32	6.78	2.72	10.26	5.06	1.63	16.57	3.5	6.5
5224.461434N	00220.673527W	30.84	09:52:53.94	4.55	2.32	6.90	2.72	10.15	5.08	1.68	15.10	3.1	2.4
5224.461443N	00220.673558W	30.82	09:52:54.83	4.57	2.32	6.77	2.72	10.11	4.99	2.15	67.10	9.7	5.2
5224.461568N	00220.673629W	30.82	09:52:55.89	4.79	2.32	7.07	2.76	10.23	5.13	1.63	15.92	3.1	3.3
5224.461643N	00220.673418W	30.83	09:52:56.94	4.59	2.32	6.78	2.74	9.95	5.03	1.64	14.80	3.1	2.6
5224.461608N	00220.673503W	30.81	09:52:57.84	4.54	2.30	6.67	2.68	9.92	4.89	1.64	14.76	3.1	2.8
5224.461581N	00220.673534W	30.78	09:52:58.89	4.45	2.31	6.48	2.68	9.84	4.90	2.09	65.30	9.7	4.0
5224.461564N	00220.673463W	30.80	09:52:59.93	4.41	2.31	6.55	2.68	9.78	4.90	2.08	64.91	9.7	4.4
5224.461551N	00220.673438W	30.81	09:53:00.83	4.50	2.31	6.79	2.72	10.00	5.06	1.65	14.88	3.1	1.9
5224.461533N	00220.673421W	30.79	09:53:01.89	4.48	2.31	6.85	2.69	10.28	4.90	1.63	16.60	3.5	7.6
5224.461530N	00220.673426W	30.79	09:53:02.93	4.41	2.31	6.61	2.70	10.00	4.96	2.13	66.37	9.7	4.3
5224.461536N	00220.673426W	30.79	09:53:03.83	4.41	2.31	6.69	2.70	10.00	4.97	2.13	66.37	9.7	4.6
5224.461542N	00220.673426W	30.78	09:53:04.88	4.40	2.31	6.46	2.70	9.78	5.00	2.08	64.91	9.7	3.9
5224.461542N	00220.673427W	30.78	09:53:05.93	4.42	2.31	6.72	2.72	10.07	5.05	2.14	66.83	9.7	5.4
5224.461537N	00220.673421W	30.78	09:53:06.83	4.41	2.31	6.67	2.69	9.83	4.95	1.63	14.63	3.1	1.8
5224.461566N	00220.673440W	30.78	09:53:07.88	4.70	2.31	7.19	2.70	10.99	5.04	1.75	17.75	3.5	7.2
5224.461573N	00220.673454W	30.78	09:53:08.93	4.47	2.31	6.81	2.71	10.13	5.00	1.67	15.07	3.1	3.2
5224.461574N	00220.673444W	30.77	09:53:09.83	4.50	2.31	6.77	2.73	10.18	5.02	2.16	67.56	9.7	5.1
5224.461582N	00220.673450W	30.78	09:53:10.88	4.47	2.31	6.71	2.68	10.03	4.96	2.13	66.57	9.7	4.9
5224.461594N	00220.673463W	30.78	09:53:11.93	4.60	2.31	6.75	2.69	10.21	4.95	1.62	16.49	3.5	6.7
5224.461603N	00220.673470W	30.77	09:53:12.83	4.58	2.31	6.94	2.70	10.34	5.00	1.64	16.09	3.1	3.1
5224.461596N	00220.673470W	30.78	09:53:13.88	4.49	2.31	6.87	2.72	10.20	5.05	1.69	15.18	3.1	3.3
5224.461598N	00220.673472W	30.78	09:53:14.93	4.50	2.31	6.70	2.70	10.12	5.07	2.15	67.16	9.7	4.7
5224.461595N	00220.673476W	30.78	09:53:15.83	4.50	2.31	6.77	2.71	10.26	4.98	1.63	16.57	3.5	7.1
5224.461598N	00220.673468W	30.78	09:53:16.88	4.45	2.31	6.71	2.72	10.03	5.06	2.13	66.57	9.7	5.1
5224.461599N	00220.673465W	30.78	09:53:17.78	4.44	2.31	6.70	2.70	10.08	4.95	2.14	66.90	9.7	5.1
5224.461603N	00220.673459W	30.78	09:53:18.83	4.37	2.31	6.68	2.72	9.89	5.05	1.64	14.72	3.1	2.3
5224.461603N	00220.673464W	30.78	09:53:19.88	4.45	2.31	6.70	2.71	9.99	4.96	1.65	14.86	3.1	2.3
5224.461603N	00220.673465W	30.77	09:53:20.78	4.58	2.31	6.88	2.69	10.47	4.94	1.66	16.91	3.5	6.9
5224.461604N	00220.673458W	30.77	09:53:21.83	4.48	2.31	6.71	2.69	10.16	5.02	2.16	67.43	9.7	4.9
5224.461603N	00220.673469W	30.77	09:53:22.88	4.42	2.31	6.68	2.71	10.05	5.03	2.14	66.70	9.7	5.2
5224.461598N	00220.673478W	30.78	09:53:23.78	4.46	2.31	6.53	2.70	9.91	4.99	2.11	65.77	9.7	3.8
5224.461597N	00220.673476W	30.78	09:53:24.83	4.51	2.31	6.78	2.70	10.19	4.96	2.17	67.63	9.7	5.1
5224.461599N	00220.673474W	30.78	09:53:25.88	4.46	2.31	6.87	2.71	10.36	5.06	1.65	16.73	3.5	7.8
5224.461591N	00220.673481W	30.78	09:53:26.78	4.32	2.31	6.37	2.74	9.61	5.06	2.04	63.78	9.7	3.9
5224.461580N	00220.673498W	30.78	09:53:27.83	4.23	2.31	6.46	2.70	9.79	4.99	2.08	64.97	9.7	4.9
5224.461585N	00220.673498W	30.79	09:53:28.88	4.36	2.31	6.69	2.72	9.95	5.03	1.64	14.80	3.1	2.8
5224.461588N	00220.673496W	30.80	09:53:29.78	4.33	2.31	6.56	2.69	9.78	4.87	1.62	14.55	3.1	2.5
5224.461586N	00220.673499W	30.80	09:53:30.83	4.39	2.31	6.61	2.69	9.89	4.97	2.10	65.64	9.7	4.4
5224.461586N	00220.673496W	30.79	09:53:31.88	4.40	2.31	6.53	2.71	10.04	5.07	2.13	66.63	9.7	4.6
5224.461589N	00220.673497W	30.80	09:53:32.78	4.34	2.31	6.61	2.71	9.78	5.08	1.62	14.55	3.1	2.1
5224.461588N	00220.673504W	30.81	09:53:33.83	4.30	2.31	6.53	2.71	9.81	4.93	2.09	65.11	9.7	4.7
5224.461587N	00220.673515W	30.80	09:53:34.88	4.36	2.30	6.68	2.69	10.02	4.92	2.13	66.50	9.7	5.6
5224.461587N	00220.673499W	30.81	09:53:35.78	4.34	2.31	6.65	2.70	10.04	5.06	2.13	66.63	9.7	5.6
5224.461587N	00220.673493W	30.81	09:53:36.83	4.29	2.30	6.51	2.69	9.82	4.96	2.09	65.17	9.7	4.6
5224.461592N	00220.673497W	30.81	09:53:37.88	4.38	2.31	6.60	2.69	9.93	4.99	2.11	65.90	9.7	4.4
5224.461615N	00220.673516W	30.81	09:53:38.78	4.34	2.30	6.39	2.71	9.60	5.02	2.04	63.71	9.7	4.3
5224.461598N	00220.673557W	30.81	09:53:39.83	4.28	2.30	6.44	2.64	9.72	4.68	2.07	64.51	9.7	4.3
5224.461583N	00220.673562W	30.81	09:53:40.88	4.39	2.30	6.71	2.64	10.03	4.80	2.13	66.57	9.7	5.5
5224.461588N	00220.673509W	30.82	09:53:41.78	4.33	2.31	6.59	2.70	10.00	5.04	2.13	66.37	9.7	4.8
5224.461597N	00220.673530W	30.81	09:53:42.83	4.47	2.30	6.70	2.68	10.29	4.92	1.64	16.62	3.5	7.0
5224.461596N	00220.673538W	30.82	09:53:43.88	4.44	2.31	6.69	2.71	10.01	5.08	2.13	66.43	9.7	5.0
5224.461588N	00220.673517W	30.81	09:53:44.78	4.30	2.31	6.57	2.69	9.78	4.95	1.62	14.55	3.1	2.7
5224.461583N	00220.673506W	30.81	09:53:45.83	4.37	2.30	6.62	2.66	10.12	4.90	2.15	67.16	9.7	5.3
5224.461583N	00220.673521W	30.80	09:53:46.88	4.39	2.30	6.63	2.69	10.02	4.98	2.13	66.50	9.7	5.1
5224.461577N	00220.673522W	30.80	09:53:47.78	4.34	2.30	6.68	2.72	10.12	4.98	2.15	67.16	9.7	5.8
5224.461566N	00220.673525W	30.80	09:53:48.83	4.24	2.31	6.44	2.70	9.55	4.98	1.58	14.21	3.1	2.2
5224.461570N	00220.673522W	30.80	09:53:49.88	4.37	2.30	6.59	2.66	9.97	4.87	2.12	66.17	9.7	4.5
5224.461562N	00220.673510W	30.81	09:53:50.78	4.32	2.31	6.35	2.72	9.56	5.04	2.03	63.45	9.7	4.2
5224.461561N	00220.673522W	30.80	09:53:51.83	4.24	2.30	6.17	2.63	9.39	4.79	2.00	62.32	9.7	3.8
5224.461561N	00220.673509W	30.81	09:53:52.88	4.23	2.30	6.39	2.68	9.62	4.85	2.04	63.84	9.7	4.4
5224.461563N	00220.673498W	30.80	09:53:53.78	4.34	2.30	6.56	2.69	9.81	4.88	2.09	65.11	9.7	4.5
5224.461558N	00220.673504W	30.80	09:53:54.83	4.39	2.30	6.75	2.71	10.09	4.96	2.14	66.96	9.7	5.8
5224.461557N	00220.673514W	30.80	09:53:55.88	4.31	2.31	6.60	2.76	9.90	5.12	2.10	65.70	9.7	4.9
5224.461553N	00220.673513W	30.80	09:53:56.78	4.34	2.30	6.41	2.69	9.79	4.88	2.08	64.97	9.7	3.7
5224.461548N	00220.673513W	30.81	09:53:57.83	4.29	2.30	6.64	2.69	9.99	4.87	2.12	66.30	9.7	5.3
5224.461548N	00220.673507W	30.81	09:53:58.88	4.38	2.30	6.57	2.66	9.91	4.95	2.11	65.77	9.7	4.3
5224.461550N	00220.673491W	30.82	09:53:59.78	4.41	2.31	6.61	2.72	10.09	5.04	2.14	66.96	9.7	4.9
5224.461589N	00220.673475W	30.84	09:54:00.83	4.54	2.31	6.97	2.76	10.45	5.17	1.66	16.88	3.5	7.6
5224.461631N	00220.673534W	30.87	09:54:01.88	4.52	2.31	6.84	2.76	10.31	5.10	1.64	16.65	3.5	7.2
5224.461574N	00220.673474W	30.88	09:54:02.78	4.46	2.31	6.68	2.75	9.92	5.14	1.64	14.76	3.1	2.2
5224.461537N	00220.673475W	30.88	09:54:03.83	4.23	2.30	6.58	2.70	9.77	4.92	1.62	14.54	3.1	3.1
5224.461549N	00220.673487W	30.88	09:54:04.88	4.40	2.30	6.66	2.71	9.95	4.93	2.11	66.03	9.7	4.6
5224.461541N	00220.673520W	30.87	09:54:05.78	4.37	2.30	6.56	2.72	9.73	5.02	1.61	14.48	3.1	2.1
5224.461544N	00220.673501W	30.87	09:54:06.83	4.41	2.31	6.62	2.72	10.11	5.15	2.15	67.10	9.7	5.0
5224.461553N	00220.673486W	30.87	09:54:07.88	4.28	2.31	6.51	2.72	9.47	5.01	1.57	14.09	3.1	1.5
5224.461552N	00220.673476W	30.88	09:54:08.78	4.47	2.30	6.71	2.70	10.29	4.93	1.64	16.62	3.5	7.0
5224.461546N	00220.673488W	30.88	09:54:09.82	4.42	2.30	6.68	2.72	9.92	4.97	1.64	14.76	3.1	2.2
5224.461544N	00220.673482W	30.87	09:54:10.88	4.46	2.31	6.88	2.72	10.28	5.06	1.63	16.60	3.5	7.9
5224.461544N	00220.673487W	30.87	09:54:11.78	4.43	2.29	6.76	2.66	10.05	4.80	1.66	14.95	3.1	3.2
5224.461544N	00220.673478W	30.88	09:54:12.82	4.43	2.30	6.84	2.70	10.37	4.92	1.65	16.75	3.5	7.9
5224.461544N	00220.673480W	30.88	09:54:13.88	4.46	2.30	6.80	2.69	10.36	4.94	1.65	16.73	3.5	7.5
5224.461538N	00220.673487W	30.87	09:54:14.78	4.35	2.30	6.69	2.73	10.02	5.02	2.13	66.50	9.7	5.7
5224.461537N	00220.673492W	30.88	09:54:15.82	4.46	2.31	6.78	2.71	10.16	4.98	2.16	67.43	9.7	5.4
5224.461536N	00220.673484W	30.87	09:54:16.88	4.41	2.31	6.75	2.73	10.15	5.07	2.16	67.36	9.7	5.6
5224.461537N	00220.673491W	30.86	09:54:17.78	4.38	2.30	6.57	2.74	9.82	5.15	2.09	65.17	9.7	4.2
5224.461535N	00220.673489W	30.86	09:54:18.83	4.41	2.30	6.66	2.70	9.94	4.96	2.11	65.97	9.7	4.5
5224.461548N	00220.673473W	30.86	09:54:19.88	4.44	2.31	6.99	2.73	10.27	5.11	1.63	15.98	3.1	3.5
5224.461579N	00220.673386W	30.87	09:54:20.77	4.50	2.30	7.05	2.72	10.52	5.11	1.67	16.37	3.1	4.2
5224.461538N	00220.673436W	30.86	09:54:21.82	4.48	2.30	6.76	2.69	10.31	4.97	1.64	16.65	3.5	7.2
5224.461530N	00220.673399W	30.86	09:54:22.87	4.52	2.30	6.75	2.70	10.40	5.10	1.65	16.79	3.5	6.8
5224.461509N	00220.673423W	30.86	09:54:23.77	4.58	2.29	6.80	2.65	10.28	4.85	1.63	16.60	3.5	6.6
5224.461509N	00220.673458W	30.84	09:54:24.82	4.47	2.30	6.72	2.70	10.13	5.06	2.15	67.23	9.7	5.0
5224.461519N	00220.673455W	30.84	09:54:25.87	4.32	2.29	6.44	2.67	9.76	4.93	2.07	64.77	9.7	4.0
5224.461511N	00220.673463W	30.84	09:54:26.77	4.31	2.30	6.24	2.67	9.58	4.90	2.04	63.58	9.7	3.4
5224.461507N	00220.673500W	30.83	09:54:27.82	4.29	2.29	6.50	2.66	9.62	4.84	1.59	14.31	3.1	2.0
5224.461513N	00220.673509W	30.83	09:54:28.87	4.23	2.29	6.32	2.66	9.45	4.82	2.01	62.72	9.7	4.0
5224.461506N	00220.673514W	30.82	09:54:29.77	4.26	2.30	6.38	2.68	9.53	4.90	2.03	63.25	9.7	4.1
5224.461510N	00220.673512W	30.82	09:54:30.82	4.34	2.30	6.45	2.70	9.45	4.89	1.56	14.06	3.1	2.3
5224.461513N	00220.673506W	30.82	09:54:31.73	4.28	2.29	6.36	2.66	9.50	4.81	2.02	63.05	9.7	4.3
5224.461515N	00220.673510W	30.82	09:54:32.77	4.24	2.29	6.26	2.64	9.63	4.87	2.05	63.91	9.7	3.7
5224.461512N	00220.673514W	30.81	09:54:33.82	4.29	2.29	6.40	2.66	9.67	4.83	2.06	64.18	9.7	4.0
5224.461517N	00220.673513W	30.81	09:54:34.72	4.40	2.29	6.43	2.63	9.72	4.78	2.07	64.51	9.7	4.1
5224.461523N	00220.673505W	30.81	09:54:35.77	4.39	2.29	6.49	2.68	9.81	4.90	2.09	65.11	9.7	3.8
5224.461523N	00220.673496W	30.81	09:54:36.82	4.31	2.29	6.46	2.63	9.95	4.78	2.11	66.03	9.7	4.3
5224.461524N	00220.673503W	30.80	09:54:37.72	4.33	2.29	6.37	2.66	9.66	4.84	2.05	64.11	9.7	3.7
5224.461522N	00220.673507W	30.79	09:54:38.77	4.27	2.29	6.43	2.65	9.78	4.81	2.08	64.91	9.7	4.4
5224.461525N	00220.673511W	30.79	09:54:39.82	4.31	2.29	6.40	2.68	9.63	4.94	2.05	63.91	9.7	3.9
5224.461524N	00220.673509W	30.78	09:54:40.72	4.34	2.29	6.30	2.66	9.54	4.86	2.03	63.31	9.7	4.2
5224.461524N	00220.673512W	30.78	09:54:41.77	4.33	2.29	6.27	2.63	9.61	4.79	2.04	63.78	9.7	3.5
5224.461528N	00220.673515W	30.79	09:54:42.82	4.40	2.29	6.58	2.69	9.74	4.97	1.61	14.49	3.1	2.2
5224.461526N	00220.673483W	30.80	09:54:43.72	4.41	2.29	6.50	2.69	9.82	4.90	2.09	65.17	9.7	3.9
5224.461545N	00220.673516W	30.79	09:54:44.77	4.31	2.29	6.42	2.67	9.66	4.95	2.05	64.11	9.7	4.0
5224.461535N	00220.673505W	30.79	09:54:45.82	4.39	2.29	6.43	2.64	9.68	4.81	2.06	64.24	9.7	4.3
5224.461543N	00220.673524W	30.80	09:54:46.72	4.40	2.30	6.54	2.68	9.82	4.89	2.09	65.17	9.7	4.0
5224.461538N	00220.673527W	30.80	09:54:47.77	4.33	2.29	6.41	2.66	9.75	4.91	2.07	64.71	9.7	3.8
5224.461535N	00220.673523W	30.80	09:54:48.82	4.40	2.29	6.43	2.70	9.77	4.98	2.08	64.84	9.7	3.8
5224.461524N	00220.673492W	30.80	09:54:49.72	4.37	2.29	6.59	2.68	9.78	4.93	1.62	14.55	3.1	2.0
5224.461541N	00220.673498W	30.82	09:54:50.77	4.67	2.29	6.87	2.67	10.44	4.93	1.66	16.86	3.5	6.2
5224.461629N	00220.673513W	30.80	09:54:51.82	4.86	2.30	7.04	2.77	10.44	5.06	1.66	16.25	3.1	3.8
5224.461781N	00220.673680W	30.82	09:54:52.72	4.72	2.30	6.98	2.76	10.38	5.23	1.65	16.15	3.1	3.2
5224.461923N	00220.673656W	30.84	09:54:53.77	4.65	2.30	6.89	2.71	10.25	4.97	1.63	15.95	3.1	3.2
5224.462055N	00220.673868W	30.83	09:54:54.82	4.57	2.30	6.79	2.69	9.87	4.95	1.63	14.69	3.1	2.4
5224.462106N	00220.673908W	30.82	09:54:55.72	4.42	2.29	6.58	2.69	9.73	4.87	1.61	14.48	3.1	2.3
5224.462114N	00220.673922W	30.82	09:54:56.77	4.53	2.30	6.73	2.70	10.01	4.97	1.65	14.89	3.1	3.1
5224.462118N	00220.673934W	30.82	09:54:57.82	4.51	2.30	6.67	2.71	10.09	4.95	2.14	66.96	9.7	4.5
5224.462095N	00220.673915W	30.83	09:54:58.72	4.61	2.30	6.88	2.72	10.31	5.11	1.64	16.65	3.5	6.7
5224.462136N	00220.673739W	30.83	09:54:59.77	4.51	2.30	6.87	2.76	10.44	5.14	1.66	16.86	3.5	7.4
5224.462085N	00220.673576W	30.82	09:55:00.82	4.42	2.30	6.51	2.72	9.81	5.13	2.09	65.11	9.7	4.1
5224.462079N	00220.673562W	30.82	09:55:01.72	4.43	2.30	6.64	2.73	10.12	5.11	2.15	67.16	9.7	4.9
5224.462073N	00220.673524W	30.83	09:55:02.77	4.35	2.30	6.46	2.71	9.82	4.92	2.09	65.17	9.7	3.9
5224.462081N	00220.673563W	30.83	09:55:03.82	4.39	2.30	6.70	2.74	9.95	5.06	1.64	14.80	3.1	2.5
5224.462079N	00220.673562W	30.82	09:55:04.72	4.35	2.30	6.51	2.72	9.80	5.06	2.08	65.04	9.7	4.2
5224.462081N	00220.673556W	30.82	09:55:05.77	4.44	2.30	6.73	2.72	10.09	5.02	2.14	66.96	9.7	5.3
5224.462080N	00220.673566W	30.81	09:55:06.82	4.40	2.30	6.59	2.67	9.96	4.89	2.12	66.10	9.7	4.2
5224.462075N	00220.673568W	30.82	09:55:07.72	4.50	2.29	6.88	2.67	10.38	4.90	1.65	16.76	3.5	7.5
5224.462073N	00220.673579W	30.82	09:55:08.77	4.54	2.30	6.72	2.70	10.26	5.03	1.63	16.57	3.5	6.5
5224.462071N	00220.673580W	30.81	09:55:09.82	4.41	2.30	6.58	2.69	9.91	5.00	2.11	65.77	9.7	4.1
5224.462073N	00220.673563W	30.82	09:55:10.72	4.78	2.31	7.22	2.76	10.75	5.25	1.71	16.73	3.1	2.7
5224.462226N	00220.673324W	30.77	09:55:11.77	4.78	2.33	7.46	2.87	11.31	5.59	0.95	18.64	3.3	5.6
5224.462171N	00220.673395W	30.82	09:55:12.82	4.47	2.30	6.67	2.74	10.14	5.11	2.16	67.30	9.7	4.8
5224.462076N	00220.673638W	30.82	09:55:13.72	4.27	2.29	6.36	2.66	9.55	4.90	2.03	63.38	9.7	4.0
5224.462061N	00220.673607W	30.84	09:55:14.77	4.32	2.29	6.56	2.69	9.79	4.93	2.08	64.97	9.7	4.6
